Location,Date,Set Type,Song Order,Song
"Detroit, MI",11/24/2017,Second Set,14,Hard Rain's Gonna Fall
"Detroit, MI",11/24/2017,Second Set,15,The Wheel
"Detroit, MI",11/24/2017,Second Set,16,Not Fade Away
"Detroit, MI",11/24/2017,Second Set,17,Casey Jones
"Columbus, OH",11/25/2017,First Set,1,Cold Rain and Snow
"Columbus, OH",11/25/2017,First Set,2,Music Never Stopped
"Columbus, OH",11/25/2017,First Set,3,Row Jimmy
"Columbus, OH",11/25/2017,First Set,4,Me and My Uncle
"Columbus, OH",11/25/2017,First Set,5,Cumberland Blues
"Columbus, OH",11/25/2017,First Set,6,Althea
"Columbus, OH",11/25/2017,First Set,7,One More Saturday Night
"Columbus, OH",11/25/2017,Second Set,8,St. Stephen
"Columbus, OH",11/25/2017,Second Set,9,He's Gone
"Columbus, OH",11/25/2017,Second Set,10,China Cat Sunflower
"Columbus, OH",11/25/2017,Second Set,11,If I Had the World to Give
"Columbus, OH",11/25/2017,Second Set,12,I Know You Rider
"Columbus, OH",11/25/2017,Second Set,13,Drums
"Columbus, OH",11/25/2017,Second Set,14,Space
"Columbus, OH",11/25/2017,Second Set,15,Stella Blue
"Columbus, OH",11/25/2017,Second Set,16,All Along the Watchtower
"Columbus, OH",11/25/2017,Second Set,17,Sugar Magnolia
"Columbus, OH",11/25/2017,Encore,18,Ripple
"Charlotte, NC",11/28/2017,First Set,1,Hell in a Bucket
"Charlotte, NC",11/28/2017,First Set,2,Bertha
"Charlotte, NC",11/28/2017,First Set,3,Peggy-O
"Charlotte, NC",11/28/2017,First Set,4,When I Paint My Masterpiece
"Charlotte, NC",11/28/2017,First Set,5,Greatest Story Ever Told
"Charlotte, NC",11/28/2017,First Set,6,Ship of Fools
"Charlotte, NC",11/28/2017,First Set,7,Mississippi Half Step
"Charlotte, NC",11/28/2017,First Set,8,Let it Grow
"Charlotte, NC",11/28/2017,Second Set,9,The Weight
"Charlotte, NC",11/28/2017,Second Set,10,Playin in the Band
"Charlotte, NC",11/28/2017,Second Set,11,Uncle John's Band
"Charlotte, NC",11/28/2017,Second Set,12,Terrapin Station
"Charlotte, NC",11/28/2017,Second Set,13,Drums
"Charlotte, NC",11/28/2017,Second Set,14,Space
"Charlotte, NC",11/28/2017,Second Set,15,Standing on the Moon
"Charlotte, NC",11/28/2017,Second Set,16,I Need A Miracle
"Charlotte, NC",11/28/2017,Second Set,17,GDTRFB
"Charlotte, NC",11/28/2017,Encore,18,Black Muddy River
"Charlotte, NC",11/28/2017,Encore,19,Playing Reprise
"Atlanta, GA",11/29/2017,First Set,1,Truckin
"Atlanta, GA",11/29/2017,First Set,2,Smokestack Lightning
"Atlanta, GA",11/29/2017,First Set,3,Feel Like a Stranger
"Atlanta, GA",11/29/2017,First Set,4,Dire Wolf
"Atlanta, GA",11/29/2017,First Set,5,Loser
"Atlanta, GA",11/29/2017,First Set,6,Cassidy
"Atlanta, GA",11/29/2017,First Set,7,Bird Song
"Atlanta, GA",11/29/2017,First Set,8,Deal
"Atlanta, GA",11/29/2017,Second Set,9,Help on the Way
"Atlanta, GA",11/29/2017,Second Set,10,Slipknot
"Atlanta, GA",11/29/2017,Second Set,11,Franklin's Tower
"Atlanta, GA",11/29/2017,Second Set,12,Comes a Time
"Atlanta, GA",11/29/2017,Second Set,13,Viola Lee Blues
"Atlanta, GA",11/29/2017,Second Set,14,Drums
"Atlanta, GA",11/29/2017,Second Set,15,Space
"Atlanta, GA",11/29/2017,Second Set,16,Wharf Rat
"Atlanta, GA",11/29/2017,Second Set,17,Throwin Stones
"Atlanta, GA",11/29/2017,Second Set,18,US Blues
"Atlanta, GA",11/29/2017,Encore,19,Brokedown Palace
"Dallas, TX",12/1/2017,First Set,1,Shakedown Street
